"Package","Details","Action","Suite"
"com.samsung.android.scpm","Security and privacy > More Security settings > Enhanced Data Protection","0",
"com.samsung.android.app.routines","Settings > Modes and Routines","0",
"com.samsung.android.smartface","Settings > Display > Screen Timeout > Keep Screen on While Viewing","0",
"com.samsung.android.kmxservice","Security and privacy > More Security settings > Enhanced Data Protection","0",
"com.osp.app.signin","Samsung Account","0","Samsung Login, Cloud"
"com.sec.android.iaft","Developer Settings > IAFT","0","Unknown & Unecessary"
"com.sec.location.nsflp2","Modes and Routines location based tigger","0",
"com.samsung.android.location","Modes and Routines location based tigger","0",
"com.samsung.android.mdx.kit","Quick Share Framework","0",
"com.samsung.android.fmm","Find my Mobile","0","Samsung apps and services"
"com.samsung.android.spayfw","Samsung Pay Framework","0","Samsung apps and services"
"com.samsung.android.scloud","Samsung Cloud","0","Samsung Login, Cloud"
"com.samsung.android.authfw","Samsung Pass Framework","0","Samsung Login, Cloud"
"com.samsung.android.app.sharelive","Settings > Connected Device > Quick Share","0",
"com.samsung.android.aware.service","Quick Share Agent","0",
"com.samsung.klmsagent","KLM/KPE (Knox Licence Manager) Agent","0","Knox & Enterprise"
"com.samsung.knox.securefolder","Create Separate Space for Private Apps and Files","0","Knox & Enterprise"
"com.sec.android.app.samsungapps","Galaxy Store","0","Samsung apps and services"
"com.samsung.android.app.updatecenter","Installs Updates : No Affect Upon Uninstalling","1","Trash Installer"
"com.samsung.android.app.omcagent","Installs More Bloats","1","Trash Installer"
"com.aura.oobe.samsung","AppCloud : Installs Trash","1","Trash Installer"
"com.samsung.android.beaconmanager","Samsung Neary Scanning","1","Samsung SmartThinigs"
"com.samsung.android.service.stplatform","SmartThings Framework","1","Samsung SmartThinigs"
"com.samsung.android.easysetup","Samsung Nearby device scanning","1","Samsung SmartThinigs"
"android.autoinstalls.config.samsung","Installs More Bloats","1","Trash Installer"
"com.sec.android.easyMover.Agent","Samsung Smart Switch Agent","1","Samsung Smart Switch"
"com.sec.android.easyMover","Samsung Smart Switch Mobile","1","Samsung Smart Switch"
"com.samsung.android.messaging","Samsung Message","1","Samsung Bloat"
"com.samsung.android.keycustomizationinfobackupservice","SmartSwitch Samsung Cloud","1","Samsung Smart Switch"
"com.samsung.android.shortcutbackupservice","SmartSwitch Samsung Cloud","1","Samsung Smart Switch"
"com.samsung.android.smartswitchassistant","Samsung Smart Switch Assistant","1","Samsung Smart Switch"
"com.samsung.android.oneconnect","SmartThings","1","Samsung apps and services"
"com.samsung.android.dqagent","Device Quality Agent","1","Foctory Test/Diagnostic/Dump"
"com.samsung.android.mapsagent","Application recommendations","1","Trash Installer"
"com.samsung.android.samsungpass","Samsung Pass","1","Samsung Login, Cloud"
"com.samsung.android.themecenter","Galaxy Theme Service","1",
"com.samsung.discover.sep","Required by com.samsung.discover","1","Trash Installer"
"com.samsung.discover","Shows app recommendations on Launcher","1","Trash Installer"
"com.samsung.android.samsungpassautofill","Samsung Pass Autofill","1","Samsung Login, Cloud"
"com.sec.android.app.billing","Samsung Checkout","1","Samsung apps and services"
"com.samsung.android.app.watchmanager","Galaxy Wearable","1","Samsung Bloat"
"com.samsung.android.spay","Samsung Wallet","1","Samsung Bloat"
"com.samsung.android.app.find","Samsung Find","1","Samsung apps and services"
"com.samsung.android.voc","Samsung Members","1","Samsung apps and services"
"com.samsung.android.ipsgeofence","Samsung Visit In","1","Samsung apps and services"
"com.sec.android.widgetapp.webmanual","User Manual","1","Samsung Widgets"
"com.opera.max.oem","Samsung Max VPN & Data Saver","1","Samsung Bloat"
"com.samsung.android.app.spage","Samsung Free","1","Samsung Bloat"
"com.samsung.ecomm.global.in","Samsung Shop","1","Samsung Bloat"
"com.mygalaxy","My Galaxy","1","Samsung Bloat"
"com.facebook.services","Meta Services","1","Facebook Bloat"
"com.facebook.system","Meta App Installer","1","Facebook Bloat"
"com.microsoft.skydrive","Microsoft Onedrive","1","Microsoft Bloat"
"com.samsung.android.arzone","Samsung AR Zone","1","Samsung AR"
"com.samsung.android.mfi","Galaxy Widget","1","Samsung Widgets"
"com.samsung.android.widget.pictureframe","Gallery widget","1","Samsung Widgets"
"com.samsung.android.aremojieditor","Samsung AR Emoji Editor","1","Samsung AR"
"com.samsung.android.ardrawing","Samsung AR Doodle","1","Samsung AR"
"com.sec.android.daemonapp","Required by certain Widgets","1","Samsung Widgets"
"com.samsung.android.aremoji","Samsung AR Emoji","1","Samsung AR"
"com.samsung.android.smartmirroring","Settings > Connected Device > Smart View","1",
"com.samsung.android.allshare.service.mediashare","Smart View Service","1",
"com.samsung.android.smartface.overlay","Smartface Overlay, Unecessary","1",
"com.samsung.android.inputshare","Settings > Connected Device > Multi Control","1",
"com.samsung.android.mdecservice","Settings > Connected Device > Call & text on other devices","1",
"com.samsung.android.mcfserver","Samsung Multi Connectivity","1",
"com.samsung.android.mcfds","Settings > Connected Device > Continue apps on other devices","1",
"com.samsung.android.sm.devicesecurity","Battery and Device care -> App Protection","1",
"com.samsung.android.uds","Battery and Device care -> Ultra Data Saving","1",
"com.facebook.appmanager","Meta App Manager","1","Facebook Bloat"
"com.samsung.android.rubin.app","Digital wellbeing and parental controls > Driving & Walking Monitor","1",
"com.samsung.android.dynamiclock","Settings > Wallaper and Style > Change Wallpaper > Wallpaper Services","1",
"com.sec.android.widgetapp.easymodecontactswidget","Favourite Contacts widget","1","Samsung Widgets"
"com.samsung.android.themestore","Settings > Themes","1",
"com.snap.camerakit.plugin.v1","Camera Kit by Snap AR","1","Samsung Camera"
"com.samsung.android.app.camera.sticker.facearavatar.preload","Crocro and friends : Camera Sticker App","1","Samsung Camera"
"com.samsung.android.stickercenter","Stickers in Samsung Keyboard","1","Samsung Sticker"
"com.hiya.star","Caller ID Screener","1","Samsung Phone"
"com.sec.android.mimage.avatarstickers","Samsung AR Emoji Stickers","1","Samsung Sticker"
"com.sec.spp.push","Samsung System Apps Notification Provider","1","Samsung Bloat"
"com.sec.modem.settings","Loggger","1","Foctory Test/Diagnostic/Dump"
"com.sec.imslogger","IMS Logger","1","Foctory Test/Diagnostic/Dump"
"com.sec.phone","Test/Debug for Phone Calls","1","Foctory Test/Diagnostic/Dump"
"com.samsung.android.dsms","logger","1","Foctory Test/Diagnostic/Dump"
"com.sec.facatfunction","UI Display, Sensors Tests","1","Foctory Test/Diagnostic/Dump"
"com.samsung.android.smartcallprovider","Caller ID Screener","1","Samsung Phone"
"com.samsung.android.svcagent","Diagnosis and Logger","1","Unknown & Unecessary"
"com.sec.android.CcInfo","CcInfo : Analytics and logs","1","Data Logger"
"com.samsung.android.setupindiaservicestnc","Samsung Serivices Persistant Notifiacation","1","Unknown & Unecessary"
"com.samsung.android.kidsinstaller","Samsung Kids Home","1","Unknown & Unecessary"
"com.samsung.android.sdm.config","Configuration Update for Samsung Deskphone Manager (SDM)","1","Unknown & Unecessary"
"com.sec.android.app.SecSetupWizard","Samsung Setup Wizard","1","Unknown & Unecessary"
"com.samsung.android.samsungpositioning","Location Provider for Samsung apps","1","Unknown & Unecessary"
"com.samsung.attribution","Data Collection","1","Data Logger"
"com.samsung.android.net.wifi.wifiguider","Wi-Fi Tips","1","Unknown & Unecessary"
"com.sec.android.app.chromecustomizations","Samsung Customisation on Chrome","1","Unknown & Unecessary"
"com.sec.android.app.setupwizardlegalprovider","SetupWizardLegalProvider","1","Unknown & Unecessary"
"com.samsung.logwriter","LogWriter","1","Foctory Test/Diagnostic/Dump"
"com.samsung.ipservice","Hidden network settings","1","Foctory Test/Diagnostic/Dump"
"com.sec.android.app.DataCreate","Automation Test","1","Foctory Test/Diagnostic/Dump"
"com.sec.android.RilServiceModeApp","Service mode RIL app. Used for debug and diagnostics","1","Foctory Test/Diagnostic/Dump"
"com.samsung.android.networkdiagnostic","Network Diagnostic","1","Foctory Test/Diagnostic/Dump"
"com.samsung.safetyinformation","Safety information telling you to be careful with the usage of your phone","1","Unknown & Unecessary"
"com.samsung.android.visualars","Smart Touch Call","1","Foctory Test/Diagnostic/Dump"
"com.samsung.android.providers.factory","FactoryTestProvider","1","Foctory Test/Diagnostic/Dump"
"com.sec.android.app.factorykeystring","Dialable hidden diagnostic/debug app","1","Foctory Test/Diagnostic/Dump"
"com.sec.bcservice","Broadcast Service. Diagnostic/debug hidden app. TCP dump","1","Foctory Test/Diagnostic/Dump"
"com.sec.app.RilErrorNotifier","RilNotifier","1","Foctory Test/Diagnostic/Dump"
"com.sec.factory.cameralyzer","Cameralyzer","1","Foctory Test/Diagnostic/Dump"
"com.sec.factory.camera","Camera Test","1","Foctory Test/Diagnostic/Dump"
"com.sec.android.app.parser","DRParser Mode. Secret code parser. Support for hidden samsung apps launched via secret codes","1","Foctory Test/Diagnostic/Dump"
"com.sec.android.app.hwmoduletest","HwModuleTest, a hardware hidden test app","1","Foctory Test/Diagnostic/Dump"
"com.sec.android.diagmonagent","Diagnostic Monitoring Agent","1","Foctory Test/Diagnostic/Dump"
"com.sec.android.app.servicemodeapp","SysDump hidden app. Low-level debugging and diagnostics tools","1","Foctory Test/Diagnostic/Dump"
"com.sec.android.app.quicktool","Tools Edge","2","Edge"
"com.samsung.android.app.clipboardedge","Clipboard Edge","2","Edge"
"com.samsung.android.rampart","Samsung Auto Blocker","2",
"com.samsung.android.app.cocktailbarservice","Edge Panel","2","Edge"
"com.samsung.SMT","Samsung Text to Speech","2","Samsung App and Services"
"com.samsung.android.app.taskedge","Tasks Edge","2","Edge"
"com.samsung.android.service.peoplestripe","People Edge","2","Edge"
"com.samsung.android.knox.containercore","Contains Knox Profile","2","Knox & Enterprise"
"com.samsung.android.knox.pushmanager","Knox Push Manager","2","Knox & Enterprise"
"com.sec.enterprise.knox.cloudmdm.smdms","Knox Enrollment Service","2","Knox & Enterprise"
"com.samsung.android.knox.app.networkfilter","Network Filter for Knox","2","Knox & Enterprise"
"com.knox.vpn.proxyhandler","Proxy Handler for Knox","2","Knox & Enterprise"
"com.samsung.android.appseparation","Isolates third-party apps in a sandboxed folder","2","Knox & Enterprise"
"com.samsung.android.mobileservice","Group Sharing","2","Samsung Login, Cloud"
"com.samsung.android.knox.attestation","Check the integrity of a device by connecting to a Samsung Attestation Server","2","Knox & Enterprise"
"com.samsung.android.knox.kpecore","Samsung 'Knox Platform for Enterprise'","2","Knox & Enterprise"
"com.skms.android.agent","Samsung KMS Agent","2","Knox & Enterprise"
"com.sec.enterprise.mdm.services.simpin","Enterprise Sim Pin Service","2","Knox & Enterprise"
"com.samsung.android.container","ContainerService","2","Knox & Enterprise"
"com.samsung.android.hdmapp","Hypervisor Device Manager App","2","Knox & Enterprise"
"com.samsung.android.mdm","Mobile Device Management app","2","Knox & Enterprise"
"com.samsung.android.knox.mpos","Knox for POS Devices","2","Knox & Enterprise"
"com.samsung.android.knox.zt.framework","Knox Zero Trust Framework","2","Knox & Enterprise"
"com.samsung.android.bbc.bbcagent","Manages app installation in KNOX  containers","2","Knox & Enterprise"
"com.samsung.android.knox.analytics.uploader","Knox Analytics Uploader","2","Knox & Enterprise"
"com.samsung.android.app.settings.bixby","Samsung Setting Intelligence","2","Samsung apps and services"
"com.samsung.android.alive.service","Content Suggestions Service","2","Samsung Secure Folder"
"com.samsung.android.aliveprivacy","Content Suggestions","2","Samsung Secure Folder"
"com.samsung.android.wcmurlsnetworkstack","wcmurlsnetworkstack","2","Unknown & Unecessary"
"com.sec.usbsettings","Change USB Connection Protocol","2","USB Settings Launcher"
"com.samsung.android.sdk.handwriting","Handwriting Service","2","Samsung Note"
"com.samsung.aasaservice","Security Policy App","2","Knox & Enterprise"
"com.sec.mhs.smarttethering","Connections > Mobile Hotspot and Tethring > Mobile Hotspot > Auto Hotspot","2",
"com.samsung.storyservice","Create Stories in Gallary","2","Samsung Gallary"
"com.samsung.faceservice","Gallary Face Recognition & Tagging","2","Samsung Gallary"
"com.sec.android.app.shealth","Samsung Health","2","Samsung apps and services"
"com.sec.android.app.sbrowser","Samsung Browser","2","Samsung Bloat"
"com.samsung.android.app.watchmanagerstub","Stub for the Galaxy Wearable app","2","Samsung apps and services"
"com.sec.penup","PENUP?","2","Samsung apps and services"
"com.samsung.clipboardsaveservice","Clipboard Service","2","Samsung Bloat"
"com.samsung.android.aircommandmanager","S Pen Support","2","Samsung Bloat"
"com.sec.android.app.personalization","","2","Unknown & Unecessary"
"com.sec.location.nfwlocationprivacy","Location Bloat","2","Unknown & Unecessary"
"com.samsung.sait.sohservice","SOH Service","2","Unknown & Unecessary"